Date,Symbol,Sector,Close,Open,High,Low,Volume,Turnover_Cr,Daily_Return,MA_20,MA_50,MA_200,Volatility_20d,RSI,52W_High,52W_Low,PE_Ratio,Dividend_Yield,Market_Cap_Cr,Year,Month,Quarter
2023-02-01,TCS,IT,3155.57,3144.25,3173.13,3108.29,3792521752,1196756.79,0.0012,3260.78,,,0.01137,25.11,,,31.2,1.8,1153755,2023,2,2023Q1
2023-02-02,TCS,IT,3106.35,3156.6,3183.98,3069.96,7352959475,2284086.57,-0.0156,3251.15,,,0.01086,18.47,,,31.2,1.8,1135759,2023,2,2023Q1
2023-02-03,TCS,IT,3088.59,3095.93,3107.56,3074.71,2356761649,727907.05,-0.0057,3241.0,,,0.01087,18.41,,,31.2,1.8,1129266,2023,2,2023Q1
2023-02-06,TCS,IT,3093.82,3079.38,3111.49,3030.36,2052702736,635069.28,0.0017,3231.48,,,0.01092,20.11,,,31.2,1.8,1131178,2023,2,2023Q1
2023-02-07,TCS,IT,3055.04,3093.53,3097.34,3046.46,3084020962,942180.74,-0.0125,3216.98,,,0.00987,16.52,,,31.2,1.8,1116999,2023,2,2023Q1
2023-02-08,TCS,IT,3069.42,3037.07,3090.86,2997.55,7514919841,2306644.53,0.0047,3201.67,,,0.00959,22.46,,,31.2,1.8,1122257,2023,2,2023Q1
2023-02-09,TCS,IT,3049.92,3088.39,3088.88,3037.66,2100993235,640786.13,-0.0064,3186.2,,,0.0096,25.16,,,31.2,1.8,1115127,2023,2,2023Q1
2023-02-10,TCS,IT,3041.18,3039.0,3053.02,3031.74,896086012,272515.89,-0.0029,3169.18,,,0.00924,25.92,,,31.2,1.8,1111931,2023,2,2023Q1
2023-02-13,TCS,IT,3021.82,3040.81,3060.18,3015.2,3368182767,1017804.2,-0.0064,3152.01,,,0.00924,27.16,,,31.2,1.8,1104853,2023,2,2023Q1
2023-02-14,TCS,IT,3087.3,3032.41,3095.67,3028.73,5255372575,1622491.18,0.0217,3138.92,,,0.01104,37.22,,,31.2,1.8,1128794,2023,2,2023Q1
2023-02-15,TCS,IT,3088.18,3079.31,3106.91,3048.4,1969119474,608099.54,0.0003,3125.35,,,0.01096,40.68,,,31.2,1.8,1129116,2023,2,2023Q1
2023-02-16,TCS,IT,3052.69,3066.85,3105.28,3047.02,4995090493,1524846.28,-0.0115,3113.54,,,0.01038,42.27,,,31.2,1.8,1116140,2023,2,2023Q1
2023-02-17,TCS,IT,3082.64,3048.62,3115.79,3020.22,1947475560,600336.61,0.0098,3106.33,,,0.01015,37.97,,,31.2,1.8,1127090,2023,2,2023Q1
2023-02-20,TCS,IT,3041.59,3074.55,3113.98,3023.77,3038032719,924044.99,-0.0133,3098.03,,,0.01042,34.24,,,31.2,1.8,1112081,2023,2,2023Q1
2023-02-21,TCS,IT,3050.13,3020.82,3056.17,3015.66,4762775562,1452708.46,0.0028,3091.92,,,0.01029,35.12,,,31.2,1.8,1115204,2023,2,2023Q1
2023-02-22,TCS,IT,2984.41,3052.74,3056.41,2968.78,1805354084,538791.68,-0.0215,3081.89,,,0.01107,33.56,,,31.2,1.8,1091175,2023,2,2023Q1
2023-02-23,TCS,IT,2941.08,2986.26,2988.66,2929.94,3579582264,1052783.78,-0.0145,3071.25,,,0.01127,31.4,,,31.2,1.8,1075332,2023,2,2023Q1
2023-02-24,TCS,IT,2948.94,2951.16,2965.04,2893.5,6001300511,1769747.51,0.0027,3063.45,,,0.01097,31.85,,,31.2,1.8,1078206,2023,2,2023Q1
2023-02-27,TCS,IT,2975.04,2939.02,3003.41,2876.38,4143150511,1232603.85,0.0089,3054.27,,,0.01032,39.65,,,31.2,1.8,1087749,2023,2,2023Q1
2023-02-28,TCS,IT,2982.13,2960.77,2996.26,2944.83,2280002212,679926.3,0.0024,3045.79,,,0.01039,38.49,,,31.2,1.8,1090341,2023,2,2023Q1
2023-03-01,TCS,IT,2979.52,2978.49,2989.21,2936.44,6985584149,2081368.77,-0.0009,3036.99,,,0.01036,40.28,,,31.2,1.8,1089387,2023,3,2023Q1
2023-03-02,TCS,IT,2970.66,2978.73,3016.37,2965.3,4543445741,1349703.25,-0.003,3030.2,,,0.00991,40.27,,,31.2,1.8,1086148,2023,3,2023Q1
2023-03-03,TCS,IT,2922.55,2978.87,3011.73,2920.55,1289514050,376866.93,-0.0162,3021.9,,,0.01038,37.31,,,31.2,1.8,1068557,2023,3,2023Q1
2023-03-06,TCS,IT,2900.06,2934.92,2964.15,2865.08,5035995634,1460468.95,-0.0077,3012.21,,,0.01038,23.1,,,31.2,1.8,1060334,2023,3,2023Q1
2023-03-07,TCS,IT,2886.21,2910.63,2927.16,2870.23,2456659046,709043.39,-0.0048,3003.77,,,0.01016,22.03,,,31.2,1.8,1055271,2023,3,2023Q1
2023-03-08,TCS,IT,2922.29,2888.6,2936.26,2858.37,3606620613,1053959.14,0.0125,2996.42,,,0.0106,31.97,,,31.2,1.8,1068462,2023,3,2023Q1
2023-03-09,TCS,IT,2934.98,2929.3,2970.82,2901.68,5411311279,1588209.04,0.0043,2990.67,,,0.01066,28.56,,,31.2,1.8,1073102,2023,3,2023Q1
2023-03-10,TCS,IT,2878.14,2929.34,2930.1,2847.13,2483545433,714799.15,-0.0194,2982.52,3120.93,,0.01136,27.31,,,31.2,1.8,1052320,2023,3,2023Q1
2023-03-13,TCS,IT,2890.0,2879.59,2894.95,2868.66,1435758290,414934.15,0.0041,2975.93,3114.34,,0.01142,27.97,,,31.2,1.8,1056656,2023,3,2023Q1
2023-03-14,TCS,IT,2878.66,2879.67,2884.03,2876.97,6939724233,1997710.66,-0.0039,2965.5,3107.6,,0.00994,32.89,,,31.2,1.8,1052510,2023,3,2023Q1
2023-03-15,TCS,IT,2857.9,2879.2,2914.68,2850.21,5851986508,1672439.22,-0.0072,2953.98,3099.94,,0.00994,35.49,,,31.2,1.8,1044920,2023,3,2023Q1
2023-03-16,TCS,IT,2879.05,2858.66,2924.73,2829.33,3129463034,900988.05,0.0074,2945.3,3091.54,,0.01006,38.35,,,31.2,1.8,1052653,2023,3,2023Q1
2023-03-17,TCS,IT,2914.17,2893.92,2926.97,2868.74,5008819045,1459655.02,0.0122,2936.88,3083.99,,0.01024,40.15,,,31.2,1.8,1065493,2023,3,2023Q1
2023-03-20,TCS,IT,2946.39,2912.17,3008.48,2901.84,2717727562,800748.53,0.0111,2932.12,3077.24,,0.01037,44.65,,,31.2,1.8,1077274,2023,3,2023Q1
2023-03-21,TCS,IT,2919.76,2947.19,2966.17,2892.85,3431421237,1001892.65,-0.009,2925.6,3068.73,,0.01044,41.65,,,31.2,1.8,1067537,2023,3,2023Q1
2023-03-22,TCS,IT,2910.82,2921.84,2944.23,2894.17,3041483746,885321.17,-0.0031,2921.92,3059.43,,0.0094,41.64,,,31.2,1.8,1064269,2023,3,2023Q1
2023-03-23,TCS,IT,2923.05,2906.85,2941.27,2882.93,2773243016,810632.8,0.0042,2921.02,3050.71,,0.00893,50.08,,,31.2,1.8,1068740,2023,3,2023Q1
2023-03-24,TCS,IT,2956.85,2916.01,2963.72,2863.57,3912359841,1156826.12,0.0116,2921.41,3042.21,,0.0093,58.51,,,31.2,1.8,1081098,2023,3,2023Q1
2023-03-27,TCS,IT,2942.11,2968.37,3001.88,2912.42,1786753043,525682.4,-0.005,2919.77,3033.75,,0.00913,58.36,,,31.2,1.8,1075709,2023,3,2023Q1
2023-03-28,TCS,IT,2937.21,2933.45,2946.74,2925.76,2882618339,846685.54,-0.0017,2917.52,3025.51,,0.00911,52.46,,,31.2,1.8,1073917,2023,3,2023Q1
2023-03-29,TCS,IT,2901.86,2925.51,2933.96,2894.0,3825653025,1110150.95,-0.012,2913.64,3016.36,,0.00945,44.92,,,31.2,1.8,1060993,2023,3,2023Q1
2023-03-30,TCS,IT,2864.01,2907.78,2988.53,2829.73,8195127710,2347092.77,-0.013,2908.3,3007.86,,0.00981,47.7,,,31.2,1.8,1047154,2023,3,2023Q1
2023-03-31,TCS,IT,2891.78,2873.96,2901.24,2863.02,1823435454,527297.42,0.0097,2906.77,3001.16,,0.00951,50.28,,,31.2,1.8,1057307,2023,3,2023Q1
2023-04-03,TCS,IT,2937.88,2887.86,2969.03,2868.44,4240859542,1245913.64,0.0159,2908.66,2995.77,,0.01002,58.28,,,31.2,1.8,1074162,2023,4,2023Q2
2023-04-04,TCS,IT,2936.76,2934.04,2949.7,2928.76,4479734719,1315590.57,-0.0004,2911.18,2991.05,,0.00994,61.67,,,31.2,1.8,1073753,2023,4,2023Q2
2023-04-05,TCS,IT,2971.67,2939.25,2996.07,2912.62,1279065939,380096.19,0.0119,2913.65,2986.79,,0.0099,63.17,,,31.2,1.8,1086517,2023,4,2023Q2
2023-04-06,TCS,IT,2985.18,2965.36,2993.93,2957.19,4013868338,1198211.95,0.0045,2916.16,2983.41,,0.0099,60.76,,,31.2,1.8,1091456,2023,4,2023Q2
2023-04-07,TCS,IT,2964.72,2978.18,2988.76,2955.86,5076550429,1505055.06,-0.0069,2920.49,2980.61,,0.0089,52.88,,,31.2,1.8,1083976,2023,4,2023Q2
2023-04-10,TCS,IT,2978.19,2972.54,2978.46,2960.48,4387746553,1306754.29,0.0045,2924.9,2977.0,,0.00891,59.57,,,31.2,1.8,1088901,2023,4,2023Q2
2023-04-11,TCS,IT,3031.91,2983.61,3049.12,2969.43,3134675984,950405.55,0.018,2932.56,2974.6,,0.00953,67.3,,,31.2,1.8,1108542,2023,4,2023Q2
2023-04-12,TCS,IT,3032.0,3043.84,3074.66,3029.42,3861707566,1170869.73,0.0,2941.27,2972.13,,0.00927,66.13,,,31.2,1.8,1108575,2023,4,2023Q2
2023-04-13,TCS,IT,3087.62,3020.61,3096.73,3018.59,3558758651,1098809.44,0.0183,2951.7,2971.76,,0.00984,68.18,,,31.2,1.8,1128911,2023,4,2023Q2
2023-04-14,TCS,IT,2998.56,3082.97,3094.77,2986.09,1404611529,421181.19,-0.0288,2955.92,2969.96,,0.01198,56.5,,,31.2,1.8,1096348,2023,4,2023Q2
2023-04-17,TCS,IT,3027.96,3001.09,3051.16,2992.48,3600776816,1090300.82,0.0098,2960.0,2968.64,,0.01193,59.9,,,31.2,1.8,1107098,2023,4,2023Q2
2023-04-18,TCS,IT,3032.27,3019.55,3057.43,3017.58,2720876957,825043.36,0.0014,2965.62,2968.18,,0.01168,65.26,,,31.2,1.8,1108674,2023,4,2023Q2
2023-04-19,TCS,IT,3023.33,3038.11,3056.11,3018.92,2298090030,694788.45,-0.0029,2971.25,2967.26,,0.01167,69.99,,,31.2,1.8,1105405,2023,4,2023Q2
2023-04-20,TCS,IT,3027.79,3034.44,3057.55,3027.04,11324566798,3428841.01,0.0015,2976.48,2966.82,,0.01166,68.13,,,31.2,1.8,1107036,2023,4,2023Q2
2023-04-21,TCS,IT,2961.61,3022.49,3032.71,2945.58,6115321245,1811119.66,-0.0219,2976.72,2965.23,,0.01255,53.0,,,31.2,1.8,1082839,2023,4,2023Q2
2023-04-24,TCS,IT,2955.54,2961.95,2964.54,2931.79,1839333746,543622.45,-0.002,2977.39,2963.9,,0.01251,52.35,,,31.2,1.8,1080619,2023,4,2023Q2
2023-04-25,TCS,IT,2968.82,2968.45,2993.82,2966.15,3887660412,1154176.4,0.0045,2978.97,2961.53,,0.01253,49.62,,,31.2,1.8,1085475,2023,4,2023Q2
2023-04-26,TCS,IT,3020.31,2984.85,3034.15,2972.82,6776780114,2046797.67,0.0173,2984.9,2960.18,,0.01269,54.22,,,31.2,1.8,1104301,2023,4,2023Q2
2023-04-27,TCS,IT,3003.93,3027.07,3067.43,2995.65,1547111841,464741.57,-0.0054,2991.89,2959.2,,0.01232,54.75,,,31.2,1.8,1098312,2023,4,2023Q2
2023-04-28,TCS,IT,2977.81,3009.28,3025.9,2976.04,3397300048,1011651.41,-0.0087,2996.19,2957.1,,0.01244,49.96,,,31.2,1.8,1088762,2023,4,2023Q2
2023-05-01,TCS,IT,2962.21,2970.18,3030.97,2921.12,3478237864,1030327.1,-0.0052,2997.41,2955.52,,0.01205,40.99,,,31.2,1.8,1083058,2023,5,2023Q2
2023-05-02,TCS,IT,2994.42,2965.4,3011.94,2957.31,1728481021,517579.81,0.0109,3000.29,2954.4,,0.01227,45.52,,,31.2,1.8,1094835,2023,5,2023Q2
2023-05-03,TCS,IT,3006.92,2999.42,3031.53,2974.96,3952169206,1188385.66,0.0042,3002.06,2954.85,,0.01203,39.27,,,31.2,1.8,1099405,2023,5,2023Q2
2023-05-04,TCS,IT,2990.22,3005.02,3029.78,2967.87,5712247976,1708087.81,-0.0056,3002.31,2955.84,,0.01207,48.63,,,31.2,1.8,1093299,2023,5,2023Q2
2023-05-05,TCS,IT,3008.98,2984.88,3027.01,2979.11,6948412649,2090763.47,0.0063,3004.52,2957.04,,0.01202,46.76,,,31.2,1.8,1100158,2023,5,2023Q2
2023-05-08,TCS,IT,3013.61,2997.41,3042.96,2978.7,2885815102,869672.12,0.0015,3006.29,2957.81,,0.01199,46.82,,,31.2,1.8,1101851,2023,5,2023Q2
2023-05-09,TCS,IT,3048.23,2997.9,3068.24,2982.79,11419380543,3480889.84,0.0115,3007.11,2959.13,,0.01158,53.9,,,31.2,1.8,1114509,2023,5,2023Q2
2023-05-10,TCS,IT,3025.38,3030.42,3036.52,3023.69,1168249021,353439.72,-0.0075,3006.78,2960.05,,0.01171,49.64,,,31.2,1.8,1106155,2023,5,2023Q2
2023-05-11,TCS,IT,3201.94,3030.64,3230.98,3001.3,3906327979,1250782.78,0.0584,3012.49,2964.67,,0.01718,76.84,,,31.2,1.8,1170709,2023,5,2023Q2
2023-05-12,TCS,IT,3189.13,3203.36,3230.58,3182.27,1613397625,514533.48,-0.004,3022.02,2970.0,,0.01567,75.7,,,31.2,1.8,1166026,2023,5,2023Q2
2023-05-15,TCS,IT,3138.01,3184.5,3215.03,3123.18,3419795523,1073135.25,-0.016,3027.52,2974.76,,0.01615,67.18,,,31.2,1.8,1147335,2023,5,2023Q2
2023-05-16,TCS,IT,3149.94,3134.89,3171.7,3118.46,2518179115,793211.31,0.0038,3033.41,2980.04,,0.01615,64.31,,,31.2,1.8,1151697,2023,5,2023Q2
2023-05-17,TCS,IT,3160.66,3151.93,3175.32,3135.9,4211960306,1331257.45,0.0034,3040.27,2984.8,,0.01611,67.53,,,31.2,1.8,1155616,2023,5,2023Q2
2023-05-18,TCS,IT,3162.22,3159.1,3173.86,3145.23,3068071182,970191.61,0.0005,3046.99,2989.35,,0.01612,71.82,,,31.2,1.8,1156187,2023,5,2023Q2
2023-05-19,TCS,IT,3155.2,3149.5,3183.86,3099.47,2163002608,682470.58,-0.0022,3056.67,2994.89,,0.01513,73.31,,,31.2,1.8,1153620,2023,5,2023Q2
2023-05-22,TCS,IT,3106.32,3163.84,3200.79,3091.16,2235229636,694333.85,-0.0155,3064.21,2999.22,,0.01567,62.99,,,31.2,1.8,1135748,2023,5,2023Q2
2023-05-23,TCS,IT,3092.89,3109.15,3151.93,3076.13,8591034768,2657112.55,-0.0043,3070.42,3003.5,,0.01574,59.96,,,31.2,1.8,1130838,2023,5,2023Q2
2023-05-24,TCS,IT,3082.24,3095.36,3110.18,3063.13,4080629685,1257748.0,-0.0034,3073.51,3007.99,,0.01537,60.81,,,31.2,1.8,1126944,2023,5,2023Q2
2023-05-25,TCS,IT,3055.66,3089.98,3095.63,3055.39,1395740485,426490.84,-0.0086,3076.1,3011.52,,0.01546,55.39,,,31.2,1.8,1117226,2023,5,2023Q2
2023-05-26,TCS,IT,3051.41,3048.2,3095.4,3032.17,4305457093,1313771.48,-0.0014,3079.78,3014.27,,0.0153,54.37,,,31.2,1.8,1115672,2023,5,2023Q2
2023-05-29,TCS,IT,3066.76,3062.52,3076.16,3015.18,2965812753,909543.59,0.005,3085.01,3016.67,,0.01524,52.24,,,31.2,1.8,1121284,2023,5,2023Q2
2023-05-30,TCS,IT,3134.42,3065.47,3146.46,3048.9,3276546546,1027007.3,0.0221,3092.01,3020.97,,0.01579,61.89,,,31.2,1.8,1146022,2023,5,2023Q2
2023-05-31,TCS,IT,3142.0,3142.78,3157.1,3125.08,4925538058,1547604.06,0.0024,3098.76,3025.59,,0.01578,39.65,,,31.2,1.8,1148794,2023,5,2023Q2
2023-06-01,TCS,IT,3152.57,3148.92,3166.91,3089.21,5906792907,1862157.81,0.0034,3106.88,3030.18,,0.01567,43.64,,,31.2,1.8,1152658,2023,6,2023Q2
2023-06-02,TCS,IT,3151.28,3142.75,3153.93,3136.41,2127788288,670525.67,-0.0004,3113.99,3034.07,,0.01567,52.79,,,31.2,1.8,1152187,2023,6,2023Q2
2023-06-05,TCS,IT,3084.81,3156.03,3196.14,3055.54,3220764053,993544.52,-0.0211,3117.55,3036.92,,0.01653,38.85,,,31.2,1.8,1127884,2023,6,2023Q2
2023-06-06,TCS,IT,3085.23,3087.83,3107.42,3070.21,2487887459,767570.5,0.0001,3119.4,3039.88,,0.01635,36.61,,,31.2,1.8,1128037,2023,6,2023Q2
2023-06-07,TCS,IT,3088.68,3085.51,3112.66,3067.88,4405794174,1360808.83,0.0011,3122.57,3043.62,,0.01624,37.03,,,31.2,1.8,1129299,2023,6,2023Q2
2023-06-08,TCS,IT,3177.56,3087.81,3197.98,3083.56,2910535821,924840.22,0.0288,3121.35,3049.89,,0.01136,53.06,,,31.2,1.8,1161795,2023,6,2023Q2
2023-06-09,TCS,IT,3172.02,3176.74,3177.59,3167.71,3317180522,1052216.3,-0.0017,3120.49,3055.5,,0.01134,60.2,,,31.2,1.8,1159770,2023,6,2023Q2
2023-06-12,TCS,IT,3184.27,3179.75,3208.63,3159.24,2855797279,909362.96,0.0039,3122.81,3060.42,,0.01073,64.24,,,31.2,1.8,1164249,2023,6,2023Q2
2023-06-13,TCS,IT,3184.41,3189.79,3248.72,3150.13,3100085476,987194.32,0.0,3124.53,3065.38,,0.01071,66.46,,,31.2,1.8,1164300,2023,6,2023Q2
2023-06-14,TCS,IT,3143.86,3184.7,3188.7,3101.15,7666153153,2410131.23,-0.0127,3123.69,3068.82,,0.01109,63.59,,,31.2,1.8,1149474,2023,6,2023Q2
2023-06-15,TCS,IT,3186.25,3129.79,3213.83,3108.13,10803525590,3442273.34,0.0135,3124.89,3072.84,,0.01151,68.6,,,31.2,1.8,1164973,2023,6,2023Q2
2023-06-16,TCS,IT,3214.94,3190.98,3240.54,3150.96,3947314557,1269037.95,0.009,3127.88,3077.85,,0.01164,69.71,,,31.2,1.8,1175462,2023,6,2023Q2
2023-06-19,TCS,IT,3245.32,3221.92,3266.51,3199.77,3109632500,1009175.25,0.0094,3134.83,3083.19,,0.0111,66.38,,,31.2,1.8,1186570,2023,6,2023Q2
2023-06-20,TCS,IT,3213.43,3267.72,3269.66,3199.93,1472072190,473040.09,-0.0098,3140.86,3086.82,,0.01134,59.84,,,31.2,1.8,1174910,2023,6,2023Q2
2023-06-21,TCS,IT,3266.38,3223.8,3294.8,3194.46,2235087421,730064.49,0.0165,3150.06,3091.51,,0.01171,64.04,,,31.2,1.8,1194270,2023,6,2023Q2
2023-06-22,TCS,IT,3216.27,3247.77,3271.78,3202.8,3068293132,986845.92,-0.0153,3158.09,3094.08,,0.01215,57.16,,,31.2,1.8,1175949,2023,6,2023Q2
2023-06-23,TCS,IT,3239.16,3217.03,3250.11,3208.65,2286352680,740586.21,0.0071,3167.48,3098.89,,0.01215,68.8,,,31.2,1.8,1184318,2023,6,2023Q2
2023-06-26,TCS,IT,3322.07,3256.76,3340.05,3248.62,2409788683,800548.67,0.0256,3180.25,3104.77,,0.01315,74.02,,,31.2,1.8,1214632,2023,6,2023Q2
2023-06-27,TCS,IT,3286.4,3328.28,3342.55,3270.36,7186355646,2361723.92,-0.0107,3187.85,3109.86,,0.01283,68.82,,,31.2,1.8,1201590,2023,6,2023Q2
2023-06-28,TCS,IT,3266.79,3289.64,3303.85,3254.53,3316416554,1083403.64,-0.006,3194.08,3114.73,,0.01297,59.78,,,31.2,1.8,1194420,2023,6,2023Q2
2023-06-29,TCS,IT,3271.91,3275.61,3309.65,3234.53,3468060270,1134718.11,0.0016,3200.05,3119.61,,0.01296,60.96,,,31.2,1.8,1196292,2023,6,2023Q2
2023-06-30,TCS,IT,3254.71,3265.8,3297.73,3234.89,2333558047,759505.47,-0.0053,3205.22,3125.47,,0.01306,57.65,,,31.2,1.8,1190003,2023,6,2023Q2
2023-07-03,TCS,IT,3199.38,3259.38,3286.97,3170.05,5890034201,1884445.76,-0.017,3210.95,3130.35,,0.01271,51.45,,,31.2,1.8,1169773,2023,7,2023Q3
2023-07-04,TCS,IT,3203.26,3196.98,3227.29,3183.77,2939384271,941561.21,0.0012,3216.85,3135.04,,0.0127,56.2,,,31.2,1.8,1171192,2023,7,2023Q3
2023-07-05,TCS,IT,3166.29,3203.07,3219.31,3141.64,2519492795,797744.48,-0.0115,3220.73,3137.96,,0.01305,47.89,,,31.2,1.8,1157675,2023,7,2023Q3
2023-07-06,TCS,IT,3184.73,3174.16,3186.97,3164.62,1483069658,472317.64,0.0058,3221.09,3141.57,,0.01142,46.74,,,31.2,1.8,1164417,2023,7,2023Q3
2023-07-07,TCS,IT,3153.08,3175.88,3236.64,3123.26,3170655932,999733.18,-0.0099,3220.15,3145.08,,0.01163,40.07,,,31.2,1.8,1152845,2023,7,2023Q3
2023-07-10,TCS,IT,3210.38,3165.26,3212.3,3153.06,2480500715,796334.99,0.0182,3221.45,3150.04,,0.01232,49.69,,,31.2,1.8,1173795,2023,7,2023Q3
2023-07-11,TCS,IT,3183.39,3206.31,3217.96,3165.67,7589603232,2416066.7,-0.0084,3221.4,3153.82,,0.01248,41.06,,,31.2,1.8,1163927,2023,7,2023Q3
2023-07-12,TCS,IT,3173.17,3185.88,3199.51,3137.59,8218919790,2608002.97,-0.0032,3222.87,3157.14,,0.01214,44.92,,,31.2,1.8,1160190,2023,7,2023Q3
2023-07-13,TCS,IT,3203.97,3159.84,3222.23,3130.98,1762704354,564765.19,0.0097,3223.75,3161.42,,0.01196,45.93,,,31.2,1.8,1171452,2023,7,2023Q3
2023-07-14,TCS,IT,3160.94,3210.89,3247.99,3151.41,1865283072,589604.79,-0.0134,3221.05,3164.46,,0.01215,29.46,,,31.2,1.8,1155719,2023,7,2023Q3
2023-07-17,TCS,IT,3170.49,3174.66,3176.19,3165.26,2847181690,902696.11,0.003,3217.31,3167.6,,0.01195,34.17,,,31.2,1.8,1159210,2023,7,2023Q3
2023-07-18,TCS,IT,3219.24,3165.6,3230.95,3150.27,2173786318,699793.99,0.0154,3217.6,3171.02,,0.01231,43.98,,,31.2,1.8,1177035,2023,7,2023Q3
2023-07-19,TCS,IT,3162.47,3208.52,3228.39,3134.25,3644421819,1152537.47,-0.0176,3212.4,3173.76,,0.01229,37.76,,,31.2,1.8,1156278,2023,7,2023Q3
2023-07-20,TCS,IT,3170.48,3165.11,3195.88,3138.45,2776462672,880271.94,0.0025,3210.12,3173.13,,0.01188,40.38,,,31.2,1.8,1159207,2023,7,2023Q3
2023-07-21,TCS,IT,3181.23,3184.32,3189.24,3175.54,3761266035,1196545.23,0.0034,3207.22,3172.97,,0.01178,47.69,,,31.2,1.8,1163137,2023,7,2023Q3
2023-07-24,TCS,IT,3210.96,3167.39,3244.86,3160.29,5433243052,1744592.61,0.0093,3201.66,3174.43,,0.01033,50.92,,,31.2,1.8,1174007,2023,7,2023Q3
2023-07-25,TCS,IT,3167.62,3200.3,3246.88,3121.35,1920102724,608215.58,-0.0135,3195.72,3174.78,,0.01048,50.16,,,31.2,1.8,1158161,2023,7,2023Q3
2023-07-26,TCS,IT,3121.91,3163.3,3164.31,3089.09,5376808880,1678591.34,-0.0144,3188.48,3174.01,,0.01082,43.06,,,31.2,1.8,1141448,2023,7,2023Q3
2023-07-27,TCS,IT,3141.81,3114.23,3147.79,3070.22,2270870492,713464.36,0.0064,3181.98,3173.6,,0.01096,48.72,,,31.2,1.8,1148724,2023,7,2023Q3
